Fecha,Temp[C]
14-Jan-2021 11:06:41,7
14-Jan-2021 11:06:42,206
14-Jan-2021 11:06:42,206
14-Jan-2021 11:06:42,206
14-Jan-2021 11:06:42,206
14-Jan-2021 11:06:42,206
14-Jan-2021 11:06:42,206
14-Jan-2021 11:06:42,206
14-Jan-2021 11:06:42,206
14-Jan-2021 11:06:42,206
14-Jan-2021 11:06:42,205
14-Jan-2021 11:06:42,205
14-Jan-2021 11:06:42,205
14-Jan-2021 11:06:42,205
14-Jan-2021 11:06:42,205
14-Jan-2021 11:06:42,205
14-Jan-2021 11:06:42,205
14-Jan-2021 11:06:42,205
14-Jan-2021 11:06:42,205
14-Jan-2021 11:06:42,204
14-Jan-2021 11:06:42,4
14-Jan-2021 11:06:42,204
14-Jan-2021 11:06:42,204
14-Jan-2021 11:06:42,204
14-Jan-2021 11:06:42,204
14-Jan-2021 11:06:42,204
14-Jan-2021 11:06:42,204
14-Jan-2021 11:06:42,203
14-Jan-2021 11:06:42,203
14-Jan-2021 11:06:43,203
14-Jan-2021 11:06:43,203
14-Jan-2021 11:06:43,203
14-Jan-2021 11:06:43,203
14-Jan-2021 11:06:43,203
14-Jan-2021 11:06:43,203
14-Jan-2021 11:06:43,202
14-Jan-2021 11:06:43,203
14-Jan-2021 11:06:43,202
14-Jan-2021 11:06:43,202
14-Jan-2021 11:06:43,202
14-Jan-2021 11:06:43,202
14-Jan-2021 11:06:43,202
14-Jan-2021 11:06:43,201
14-Jan-2021 11:06:43,201
14-Jan-2021 11:06:43,1
14-Jan-2021 11:06:43,201
14-Jan-2021 11:06:43,1
14-Jan-2021 11:06:43,201
14-Jan-2021 11:06:43,1
14-Jan-2021 11:06:43,201
14-Jan-2021 11:06:43,1
14-Jan-2021 11:06:43,201
14-Jan-2021 11:06:43,200
14-Jan-2021 11:06:43,200
14-Jan-2021 11:06:43,200
14-Jan-2021 11:06:43,200
14-Jan-2021 11:06:43,200
14-Jan-2021 11:06:43,200
14-Jan-2021 11:06:44,200
14-Jan-2021 11:06:44,200
14-Jan-2021 11:06:44,200
14-Jan-2021 11:06:44,200
14-Jan-2021 11:06:44,200
14-Jan-2021 11:06:44,199
14-Jan-2021 11:06:44,9
14-Jan-2021 11:06:44,199
14-Jan-2021 11:06:44,199
14-Jan-2021 11:06:44,199
14-Jan-2021 11:06:44,199
14-Jan-2021 11:06:44,198
14-Jan-2021 11:06:44,198
14-Jan-2021 11:06:44,98
14-Jan-2021 11:06:44,198
